url,thumbnail_url,created_at,play_count,play_count_increase,account_name,likes_count,comment_count,hashtags,music_info,caption,category,display_name,content_type,ten_days_increase,product,likes_count_increase,ten_days_likes_increase,comment_count_increase,ten_days_comment_increase,account_type,save_count,save_count_increase,video_id,ten_days_save_increase,is_pr
https://www.tiktok.com/@xxtakaharuxx/video/7524293295724367112,https://storage.googleapis.com/tiktok-data-bucket/thumbnails/7524293295724367112.jpg,2025/7/8,24500,24500,xxtakaharuxx,605,19,"おやすみtaxi,MONTA,TAKAHARU,絵文字ダンサー,絵文字ダンス,emojidancer,dancetutorial,ダンス,dance,ねtaxi' by TAKAHARU",おやすみTaxi,@TAKAHARU  #おやすみtaxi #MONTA #TAKAHARU #絵文字ダンサー #絵文字ダンス #emojidancer #dancetutorial #ダンス #dance #ねtaxi' by TAKAHARU,,TAKAHARU,video,24500,,605,605,19,19,エンタメ・おもしろ,147,147,7.52429E+18,147,0
https://www.tiktok.com/@unanico25/video/7524287065341709576,https://storage.googleapis.com/tiktok-data-bucket/thumbnails/7524287065341709576.jpg,2025/7/8,27300,27300,unanico25,2653,59,,เสียงต้นฉบับ - Am,助けて。今何流行ってるの？笑,,una(うな)🐽☀️,video,27300,,2653,2653,59,59,女性インフルエンサー,121,121,7.52429E+18,121,0
https://www.tiktok.com/@kanojyononezou/video/7524280275883330824,gs://tiktok-data-bucket/thumbnails/7524280275883330824.jpg,2025/7/8,109500,109500,kanojyononezou,3607,53,"オジ活,錦盛丸水産,牡蠣,ゴルフ,選挙 @とらうさぎ🐯🐰' by 嫁の寝相が悪すぎる",オリジナル楽曲,あなたがオジさんになった時のために保存すべき動画　#オジ活 #錦盛丸水産 #牡蠣 #ゴルフ #選挙 @とらうさぎ🐯🐰' by 嫁の寝相が悪すぎる,,嫁の寝相が悪すぎる,video,109500,,3607,3607,53,53,"男女インフルエンサー,グルメ",73,73,7.52428E+18,73,0
https://www.tiktok.com/@madonna_khss/video/7524571963231161607,gs://tiktok-data-bucket/thumbnails/7524571963231161607.jpg,2025/7/8,30900,30900,madonna_khss,5018,93,"愛梨ここ,姫野ひなの,道産子姫野,赤間四季,運営さん大好き,学校あるある' by クラスのマドンナ",original sound,なんで今この音源流行ってるの!?#愛梨ここ #姫野ひなの#道産子姫野 #赤間四季 #運営さん大好き #学校あるある' by クラスのマドンナ,,クラスのマドンナ,video,30900,,5018,5018,93,93,"女性タレント・女優,アーティスト",809,809,7.52457E+18,809,0
https://www.tiktok.com/@cutie_street/video/7524167950656359687,gs://tiktok-data-bucket/thumbnails/7524167950656359687.jpg,2025/7/7,102600,102600,cutie_street,14100,120,"キューにストップできません！,適当に生きるな,CUTIESTREET,きゅーすと,アイドル,KAWAII",キューにストップできません！ - メロメロになっちゃうぞ ver.,ﾝﾊｧｧｧｧｧ⁉️2週連続𝐓𝐢𝐤𝐓𝐨𝐤人気曲ランキング1位⁉️🥇 #キューにストップできません！ #適当に生きるな #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,102600,,14100,14100,120,120,"女性タレント・女優,アーティスト",874,874,7.52417E+18,874,0
https://www.tiktok.com/@cutie_street/video/7524194288687762695,gs://tiktok-data-bucket/thumbnails/7524194288687762695.jpg,2025/7/8,160100,160100,cutie_street,13200,155,"板倉可奈,佐野愛花,かわいいだけじゃだめですか？,CUTIESTREET,きゅーすと,アイドル,KAWAII",かわいいだけじゃだめですか？ - 1サビ,分かった人はコメントしてください❤️💚 #板倉可奈 #佐野愛花 #かわいいだけじゃだめですか？ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,160100,,13200,13200,155,155,"女性タレント・女優,アーティスト",824,824,7.52419E+18,824,0
https://www.tiktok.com/@cutie_street/video/7524222968910613767,gs://tiktok-data-bucket/thumbnails/7524222968910613767.jpg,2025/7/8,127600,127600,cutie_street,14700,209,"キューにストップできません！,CUTIESTREET,きゅーすと,アイドル,KAWAII",キューにストップできません！ - 今でしょ ver.,突如としてTLに現れた『今でしょ』８人衆 #キューにストップできません！ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,127600,,14700,14700,209,209,"女性タレント・女優,アーティスト",990,990,7.52422E+18,990,0
https://www.tiktok.com/@cutie_street/video/7524252097424985351,gs://tiktok-data-bucket/thumbnails/7524252097424985351.jpg,2025/7/8,71100,71100,cutie_street,6859,166,"CUTIESTREET,きゅーすと,アイドル,KAWAII",かわいいだけじゃだめですか？ - 1サビ,【緩募】ポーズ足りなくなってきたので教えてください #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,71100,,6859,6859,166,166,"女性タレント・女優,アーティスト",552,552,7.52425E+18,552,0
https://www.tiktok.com/@cutie_street/video/7524272624088763656,gs://tiktok-data-bucket/thumbnails/7524272624088763656.jpg,2025/7/8,138400,138400,cutie_street,15100,183,"キューにストップできません！,CUTIESTREET,きゅーすと,アイドル,KAWAII",キューにストップできません！ - メロメロになっちゃうぞ ver.,残念ながら、梅田みゆは増田彩乃に取り憑かれてしまいました #キューにストップできません！ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,138400,,15100,15100,183,183,"女性タレント・女優,アーティスト",1038,1038,7.52427E+18,1038,0
https://www.tiktok.com/@cutie_street/video/7524293978955533586,gs://tiktok-data-bucket/thumbnails/7524293978955533586.jpg,2025/7/8,80200,80200,cutie_street,6929,138,"ひたむきシンデレラ！,CUTIESTREET,きゅーすと,アイドル,KAWAII",ひたむきシンデレラ！ - 1サビ ver.,歌ってない時の【良さ】ってあるよね #ひたむきシンデレラ！ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,80200,,6929,6929,138,138,"女性タレント・女優,アーティスト",486,486,7.52429E+18,486,0
